Codigo;Descripcion
31621;Fabricación de calzado
31699;Fabricación de otros productos de cuero, piel y  materiales sucedáneos
32111;Aserrado y conservación de la madera
32121;Fabricación de laminados y aglutinados de madera
32191;Fabricación de productos de madera para la construcción
32192;Fabricación de productos para embalaje y envases de madera
32199;Fabricación de otros productos de madera y de materiales trenzables, excepto palma
32211;Fabricación de pulpa
32212;Fabricación de papel
32213;Fabricación de cartón
32221;Fabricación de envases de cartón
32222;Fabricación de bolsas de papel y productos celulósicos recubiertos y tratados
32223;Fabricación de productos de papelería
32229;Fabricación de otros productos de cartón y papel
32311;Impresión
32312;Industrias conexas a la impresión
32411;Refinación de petróleo
32412;Fabricación de productos de asfalto
32419;Fabricación de otros productos derivados del petróleo refinado y del carbón mineral
32511;Fabricación de petroquímicos básicos del gas natural y del petróleo refinado
32512;Fabricación de gases industriales
32513;Fabricación de pigmentos y colorantes sintéticos
32518;Fabricación de otros productos químicos básicos inorgánicos
32519;Fabricación de otros productos químicos básicos orgánicos
32521;Fabricación de resinas y hules sintéticos
32522;Fabricación de fibras químicas
32531;Fabricación de fertilizantes
32532;Fabricación de pesticidas y otros agroquímicos, excepto fertilizantes
32541;Fabricación de productos farmacéuticos
32551;Fabricación de pinturas y recubrimientos
32552;Fabricación de adhesivos
32561;Fabricación de jabones, limpiadores y dentífricos
32562;Fabricación de cosméticos, perfumes y otras preparaciones de tocador
32591;Fabricación de tintas para impresión
32592;Fabricación de explosivos
32599;Fabricación de otros productos químicos
32611;Fabricación de bolsas y películas de plástico flexible
32612;Fabricación de tubería, conexiones y tubos para embalaje
32613;Fabricación de laminados de plástico rígido
32614;Fabricación de espumas y productos de poliestireno
32615;Fabricación de espumas y productos de uretano
32616;Fabricación de botellas de plástico
32619;Fabricación de otros productos de plástico
32621;Fabricación y revitalización de llantas
32622;Fabricación de bandas y mangueras de hule y de plástico
32629;Fabricación de otros productos de hule
32711;Fabricación de artículos de alfarería, porcelana, loza y muebles de baño
32712;Fabricación de productos a base de arcilla para la construcción
32721;Fabricación de vidrio y productos de vidrio
32731;Fabricación de cemento y productos a base de cemento en plantas integradas
32732;Fabricación de concreto
32733;Fabricación de tubos y bloques de cemento y concreto
32739;Fabricación de otros productos de cemento y concreto
32741;Fabricación de cal
32742;Fabricación de yeso y productos de yeso
32791;Fabricación de productos abrasivos
32799;Fabricación de otros productos a base de minerales no metálicos
33111;Industria básica del hierro y del acero
33121;Fabricación de tubos y postes de hierro y acero
33122;Fabricación de otros productos de hierro y acero
33131;Industria básica del aluminio
33141;Fundición y refinación de cobre, metales preciosos y de otros metales no ferrosos
33142;Laminación secundaria de cobre
33149;Laminación secundaria de otros metales no ferrosos
33151;Moldeo por fundición de piezas de hierro y acero
33152;Moldeo por fundición de piezas metálicas no ferrosas
33211;Fabricación de productos metálicos forjados y troquelados
33221;Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos
33231;Fabricación de estructuras metálicas
33232;Fabricación de productos de herrería
33241;Fabricación de calderas industriales
33242;Fabricación de tanques metálicos de calibre grueso
33243;Fabricación de envases metálicos de calibre ligero
33251;Fabricación de herrajes y cerraduras
33261;Fabricación de alambre, productos de alambre y resortes
33271;Maquinado de piezas metálicas para maquinaria y equipo en general
33272;Fabricación de tornillos, tuercas, remaches y similares
33281;Recubrimientos y terminados metálicos
33291;Fabricación de válvulas metálicas
33299;Fabricación de otros productos metálicos
33311;Fabricación de maquinaria y equipo agropecuario
33312;Fabricación de maquinaria y equipo para la construcción
33313;Fabricación de maquinaria y equipo para la industria extractiva
33321;Fabricación de maquinaria y equipo para la industria de la madera
33322;Fabricación de maquinaria y equipo para la industria del hule y del plástico
33324;Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica
33329;Fabricación de maquinaria y equipo para otras industrias manufactureras
33331;Fabricación de maquinaria y equipo para el comercio y los servicios
33341;Fabricación de equipo de aire acondicionado, calefacción y de refrigeración industrial y comercial
33351;Fabricación de maquinaria y equipo para la industria metalmecánica
33361;Fabricación de motores de combustión interna, turbinas y transmisiones
33391;Fabricación de bombas y sistemas de bombeo
33392;Fabricación de maquinaria y equipo para levantar y trasladar
33399;Fabricación de otra maquinaria y equipo para la industria en general
33411;Fabricación de computadoras y equipo periférico
33421;Fabricación de equipo telefónico
33422;Fabricación de equipo de transmisión y recepción de señales de radio y televisión y equipo de comunicación inalámbrico
33429;Fabricación de otros equipos de comunicación
33431;Fabricación de equipo de audio y de video
33441;Fabricación de componentes electrónicos
33451;Fabricación de instrumentos de medición, control, navegación y equipo médico electrónico
33461;Fabricación y reproducción de medios magnéticos y ópticos
33511;Fabricación de focos
33512;Fabricación de lámparas ornamentales
33521;Fabricación de enseres electrodomésticos menores
33522;Fabricación de aparatos de línea blanca
33531;Fabricación de equipo de generación y distribución de energía eléctrica
33591;Fabricación de acumuladores y pilas
33592;Fabricación de cables de conducción eléctrica
33593;Fabricación de enchufes, contactos, fusibles y otros accesorios para instalaciones eléctricas
33599;Fabricación de otros productos eléctricos
33611;Fabricación de automóviles y camionetas
33612;Fabricación de camiones y tractocamiones
33621;Fabricación de carrocerías y remolques
33631;Fabricación de motores y sus partes para vehículos automotrices
33632;Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores
33633;Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices
33634;Fabricación de partes de sistemas de frenos para vehículos automotrices
33635;Fabricación de partes de sistemas de transmisión para vehículos automotores
33636;Fabricación de asientos y accesorios interiores para vehículos automotores
33637;Fabricación de piezas metálicas troqueladas para vehículos automotrices
33639;Fabricación de otras partes para vehículos automotrices
33641;Fabricación de equipo aeroespacial
33651;Fabricación de equipo ferroviario
33661;Fabricación de embarcaciones
33699;Fabricación de otro equipo de transporte
33711;Fabricación de cocinas integrales y muebles modulares de baño
33712;Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería
33721;Fabricación de muebles de oficina y estantería
33791;Fabricación de colchones
33792;Fabricación de persianas y cortineros
33911;Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio y artículos oftálmicos
33991;Metalistería y joyería
33992;Fabricación de artículos deportivos
33993;Fabricación de juguetes
33994;Fabricación de artículos y accesorios para escritura, pintura, dibujo y actividades de oficina
33995;Fabricación de anuncios y señalamientos
33999;Otras industrias manufactureras
43111;Comercio al por mayor de abarrotes
43112;Comercio al por mayor de carnes
43113;Comercio al por mayor de frutas y verduras frescas
43114;Comercio al por mayor de huevo
43115;Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos
43116;Comercio al por mayor de leche y otros productos lácteos
43117;Comercio al por mayor de embutidos
43118;Comercio al por mayor de dulces y materias primas para repostería
43119;Comercio al por mayor de otros alimentos
43121;Comercio al por mayor de bebidas y hielo
43122;Comercio al por mayor de cigarros, puros y tabaco
43211;Comercio al por mayor  de productos textiles, excepto ropa
43212;Comercio al por mayor de ropa
43213;Comercio al por mayor de calzado
43311;Comercio al por mayor de productos farmacéuticos
43321;Comercio al por mayor de artículos de perfumería
43322;Comercio al por mayor de artículos de joyería y otros accesorios de vestir
43331;Comercio al por mayor de discos, juguetes y artículos deportivos
43341;Comercio al por mayor de artículos de papelería
43342;Comercio al por mayor de libros
43343;Comercio al por mayor de revistas y periódicos
43351;Comercio al por mayor de electrodomésticos menores y aparatos de línea blanca
43411;Comercio al por mayor de materias primas agropecuaria
43421;Comercio al por mayor de materiales para la construcción, excepto de madera
43422;Comercio al por mayor de materias primas para otras industrias
43423;Comercio al por mayor de combustibles de uso industrial
43424;Comercio al por mayor de artículos desechables
43431;Comercio al por mayor de materiales de desecho
43511;Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca
43521;Comercio al por mayor de maquinaria y equipo para la construcción y la minería
43522;Comercio al por mayor de maquinaria y equipo para la industria manufacturera
43531;Comercio al por mayor de maquinaria y equipo para los servicios y para actividades comerciales
43541;Comercio al por mayor de maquinaria, mobiliario y equipo de uso general
43611;Comercio al por mayor de camiones
43711;Intermediación al por mayor
43721;Comercio al por mayor por medios masivos de comunicación y otros medios
46111;Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas
46112;Comercio al por menor de carnes
46113;Comercio al por menor de frutas y verduras frescas
46114;Comercio al por menor de huevo
46115;Comercio al por menor de semillas y granos alimenticios, especias y chiles secos
46116;Comercio al por menor de leche procesada, otros productos lácteos y embutidos
46117;Comercio al por menor de dulces y materias primas para repostería
46119;Comercio al por menor de otros alimentos
46121;Comercio al por menor de bebidas
46122;Comercio al por menor de cigarros, puros y tabaco
46211;Comercio al por menor en tiendas de autoservicio
46221;Comercio al por menor en tiendas departamentales
46311;Comercio al por menor de productos textiles, excepto ropa
46321;Comercio al por menor de ropa y accesorios de vestir
46331;Comercio al por menor de calzado
46411;Comercio al por menor de productos farmacéuticos y naturistas
46412;Comercio al por menor de lentes y aparatos ortopédicos
46511;Comercio al por menor de artículos de perfumería y joyería
46521;Comercio al por menor de artículos para el esparcimiento
46531;Comercio al por menor de artículos de papelería, libros y periódicos
46591;Comercio al por menor de mascotas, regalos, artículos religiosos, artesanías, artículos en tiendas importadoras y otros artículos de uso personal
46611;Comercio al por menor de muebles para el hogar y otros enseres domésticos
46621;Comercio al por menor de computadoras, teléfonos y otros aparatos de comunicación
46631;Comercio al por menor de artículos para la decoración de interiores
46641;Comercio al por menor de artículos usados
46711;Comercio al por menor de artículos de ferretería, tlapalería y vidrios
46811;Comercio al por menor de automóviles y camionetas
46821;Comercio al por menor de partes y refacciones para automóviles, camionetas y camiones
46831;Comercio al por menor de motocicletas y otros vehículos de motor
46841;Comercio al por menor de combustibles
46842;Comercio al por menor de aceites y grasas lubricantes, aditivos y similares
46911;Intermediación al por menor
46921;Comercio al por menor por medios masivos de comunicación y otros medios
48111;Transporte aéreo regular
48121;Transporte aéreo no regular
48211;Transporte por ferrocarril
48311;Transporte marítimo
48321;Transporte por aguas interiores
48411;Autotransporte local de carga general
48412;Autotransporte foráneo de carga general
48421;Servicio de mudanzas
48422;Autotransporte local de carga especializado, excepto mudanzas
48423;Autotransporte foráneo de carga especializado, excepto mudanzas
48511;Transporte colectivo de pasajeros urbano y suburbano
48521;Transporte de pasajeros interurbano y rural
48531;Servicio de taxis
48532;Servicio de limusinas
48541;Transporte escolar y de personal
48551;Alquiler de autobuses con chofer
48599;Otro transporte terrestre de pasajeros
48611;Transporte de petróleo crudo por ductos
48621;Transporte de gas natural por ductos
48691;Transporte por ductos de productos refinados del petróleo
48699;Transporte por ductos de otros productos, excepto de productos refinados del petróleo
48711;Transporte turístico por tierra
48721;Transporte turístico por agua
48799;Otro transporte turístico
48811;Operaciones aeroportuarias
48819;Otros servicios relacionados con el transporte aéreo
48821;Servicios relacionados con el transporte por ferrocarril
48831;Administración de puertos y muelles
48832;Servicios de carga y descarga para el transporte por agua
48833;Servicios para la navegación por agua
48839;Otros servicios relacionados con el transporte por agua
48841;Remolque de vehículos de motor
48849;Otros servicios relacionados con el transporte por carretera
48851;Servicios de intermediación para el transporte de carga
48899;Otros servicios relacionados con el transporte
49111;Servicios postales
49211;Servicios de mensajería y paquetería foránea
49221;Servicios de mensajería y paquetería local
49311;Almacenamiento general sin instalaciones especializadas
49312;Almacenamiento con refrigeración
49313;Almacenamiento de productos agropecuarios que no requieren refrigeración
49319;Otros servicios de almacenamiento con instalaciones especializadas
51111;Edición de periódicos, excepto a través de Internet
51112;Edición de revistas y otras publicaciones periódicas, excepto a través de Internet
51113;Edición de libros, excepto a través de Internet
51114;Edición de directorios y de listas de correo, excepto a través de Internet
51119;Edición de otros materiales, excepto a través de Internet
51121;Edición de software, excepto a través de Internet
51211;Producción de películas cinematográficas, videos, programas para la televisión y otros materiales audiovisuales
51212;Distribución de películas cinematográficas, videos y otros materiales audiovisuales
51213;Exhibición de películas cinematográficas, videos y otros materiales audiovisuales
51219;Servicios de postproducción y otros servicios para la industria fílmica y del video
51221;Productoras discográficas
51222;Producción y distribución de discos y cintas magnetofónicas
51223;Editoras de música
51224;Grabación de discos y cintas magnetofónicas
51229;Otros servicios de grabación del sonido
51511;Transmisión de programas de radio, excepto a través de Internet
51512;Transmisión de programas de televisión, excepto a través de Internet
51521;Producción de programación de canales para sistemas de televisión por cable o satelitales, excepto a través de Internet
51611;Creación y difusión de contenido exclusivamente a través de Internet
51711;Telefonía tradicional, telegrafía y otras telecomunicaciones alámbricas
51721;Telefonía celular y otras  telecomunicaciones inalámbricas, excepto los servicios de satélites
51731;Reventa de servicios de telecomunicaciones
51741;Servicios de satélites
51751;Distribución por suscripción de programas de televisión, excepto a través de Internet
51791;Otros servicios de telecomunicaciones
51811;Proveedores de acceso a Internet y servicios de búsqueda en la red
51821;Procesamiento electrónico de información, hospedaje de páginas web y otros  servicios relacionados
51911;Agencias noticiosas
51912;Bibliotecas y archivos
51913;Edición y difusión de contenido exclusivamente a través de Internet y servicios de búsqueda en la red
51919;Otros servicios de suministro de información
52111;Banca central
52211;Banca múltiple
52221;Banca de desarrollo
52222;Fondos y fideicomisos financieros para el desarrollo
52231;Uniones de crédito
52232;Cajas de ahorro popular
52239;Otras instituciones de ahorro y préstamo
52241;Arrendadoras financieras
52242;Compañías de factoraje financiero
52243;Sociedades financieras de objeto limitado
52244;Compañías de autofinanciamiento
52245;Montepíos
52246;Sociedades financieras de objeto múltiple
52249;Otras instituciones de intermediación crediticia y financiera no bursátil
52251;Servicios relacionados con la intermediación crediticia
52311;Casas de bolsa
52312;Casas de cambio y centros cambiarios
52321;Bolsa de valores
52391;Sociedades de inversión
52392;Asesoría en inversiones
52399;Otros servicios relacionados con la intermediación bursátil
52411;Compañías especializadas en seguros de vida
52412;Compañías de seguros no especializadas en seguros de vida
52413;Fondos de aseguramiento campesino
52414;Compañías afianzadoras
52421;Agentes, ajustadores y gestores de seguros y fianzas
52422;Administración de cajas de pensión y de seguros independientes
53111;Alquiler sin intermediación de viviendas y otros inmuebles
53121;Inmobiliarias y corredores de bienes raíces
53131;Servicios relacionados con los servicios inmobiliarios
53211;Alquiler de automóviles sin chofer
53212;Alquiler de camiones de carga, autobuses y remolques sin chofer
53221;Alquiler de aparatos eléctricos y electrónicos para el hogar
53222;Alquiler de ropa
53223;Alquiler de videocasetes y discos
53229;Alquiler de otros artículos para el hogar
53231;Centros generales de alquiler
53241;Alquiler de maquinaria y equipo para construcción, minería, actividades forestales y transporte, excepto terrestre
53242;Alquiler de equipo de cómputo y de otras máquinas y mobiliario de oficina
53249;Alquiler de otra maquinaria y equipo industrial, comercial y de servicios
53311;Servicios de alquiler de marcas registradas, patentes y franquicias
54111;Bufetes jurídicos
54112;Notarías públicas
54119;Servicios de apoyo para efectuar trámites legales
54121;Servicios de contabilidad, auditoría y servicios relacionados
54131;Servicios de arquitectura
54132;Servicios de arquitectura de paisaje y urbanismo
54133;Servicios de ingeniería
54134;Servicios de dibujo
54135;Servicios de inspección de edificios
54136;Servicios de levantamiento geofísico
54137;Servicios de elaboración de mapas
54138;Laboratorios de pruebas
54141;Diseño y decoración de interiores
54142;Diseño industrial
54143;Diseño gráfico
54149;Diseño de modas y otros diseños especializados
54151;Servicios de consultoría en computación
54161;Servicios de consultoría en administración
54162;Servicios de consultoría en medio ambiente
54169;Otros servicios de consultoría científica y técnica
54171;Servicios de investigación y desarrollo en ciencias físicas, de la vida e ingeniería
54172;Servicios de investigación y desarrollo en ciencias sociales y humanidades
54181;Agencias de publicidad
54182;Agencias de relaciones públicas
54183;Agencias de compra de medios a petición del cliente
54184;Agencias de representación de medios
54185;Agencias de anuncios publicitarios
54186;Agencias de publicidad que operan por correo directo
54187;Distribución de material publicitario
54189;Otros servicios de publicidad
54191;Servicios de investigación de mercados y encuestas de opinión pública
54192;Servicios de fotografía
54193;Servicios de traducción e interpretación
54194;Servicios veterinarios
54199;Otros servicios profesionales, científicos y técnicos
55111;Dirección de corporativos y empresas
56111;Servicios de administración de negocios
56121;Servicios combinados de apoyo en instalaciones
56131;Agencias de colocación
56132;Agencias de empleo temporal
56133;Suministro de personal permanente
56141;Servicios de preparación de documentos
56142;Servicios de casetas telefónicas, recepción de llamadas y promoción por teléfono
56143;Servicios de fotocopiado, fax y afines
56144;Agencias de cobranza
56145;Despachos de investigación de solvencia financiera
56149;Otros servicios de apoyo secretarial y similares
56151;Agencias de viajes
56152;Organización de excursiones y paquetes turísticos para agencias de viajes
56159;Otros servicios de reservaciones
56161;Servicios de investigación y de protección y custodia, excepto mediante monitoreo
56162;Servicios de protección y custodia mediante el monitoreo de sistemas de seguridad
56171;Servicios de control y exterminación de plagas
56172;Servicios de limpieza de inmuebles
56173;Servicios de instalación y mantenimiento de áreas verdes
56174;Servicios de limpieza de tapicería, alfombras y muebles
56179;Otros servicios de limpieza
56191;Servicios de empacado y etiquetado
56192;Organizadores de convenciones y ferias comerciales e industriales
56199;Otros servicios de apoyo a los negocios
56211;Manejo de desechos y servicios de remediación
61111;Escuelas de educación preescolar
61112;Escuelas de educación primaria
61113;Escuelas de educación secundaria general
61114;Escuelas de educación secundaria técnica
61115;Escuelas de educación media técnica terminal
61116;Escuelas de educación media superior
61117;Escuelas que combinan diversos niveles de educación
61118;Escuelas de educación especial
61121;Escuelas de educación postbachillerato no universitaria
61131;Escuelas de educación superior
61141;Escuelas comerciales y secretariales
61142;Escuelas de computación
61143;Escuelas para la capacitación de ejecutivos
61151;Escuelas de oficios
61161;Escuelas de arte
61162;Escuelas de deporte
61163;Escuelas de idiomas
61169;Otros servicios educativos
61171;Servicios de apoyo a la educación
62111;Consultorios médicos
62121;Consultorios dentales
62131;Consultorios de quiropráctica
62132;Consultorios de optometría
62133;Consultorios de psicología
62134;Consultorios de audiología y de terapia ocupacional, física y del lenguaje
62139;Otros consultorios para el cuidado de la salud
62141;Centros de planificación familiar
62142;Centros de atención médica externa para enfermos mentales y adictos
62149;Otros centros para la atención de pacientes que no requieren hospitalización
62151;Laboratorios médicos y de diagnóstico
62161;Servicios de enfermería a domicilio
62191;Servicios de ambulancias
62199;Servicios de bancos de órganos, de bancos de sangre y otros servicios auxiliares al tratamiento médico
62211;Hospitales generales
62221;Hospitales psiquiátricos y para el tratamiento por abuso de substancias
62231;Hospitales de otras especialidades médicas
62311;Residencias con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales
62321;Residencias para el cuidado de personas con problemas de retardo mental
62322;Residencias para el cuidado de personas con problemas de salud mental y abuso de substancias
62331;Asilos y otras residencias para el cuidado de ancianos y discapacitados
62399;Orfanatos y otras residencias de asistencia social
62411;Servicios de orientación y trabajo social para la niñez y la juventud
62412;Centros de atención y cuidado diurno de ancianos y discapacitados
62419;Otros servicios de orientación y trabajo social
62421;Servicios de alimentación comunitarios
62422;Refugios temporales comunitarios
62423;Servicios de emergencia comunitarios
62431;Servicios de capacitación para el trabajo para personas desempleadas, subempleadas o discapacitadas
62441;Guarderías
71111;Compañías de teatro
71112;Compañías de danza
71113;Cantantes y grupos musicales
71119;Otras compañías y grupos de espectáculos artísticos
71121;Deportistas y equipos deportivos profesionales y semiprofesionales
71131;Promotores con instalaciones para la presentación de espectáculos artísticos, deportivos y similares
71132;Promotores de espectáculos artísticos, deportivos y similares que no cuentan con instalaciones para presentarlos
71141;Agentes y representantes de artistas, deportistas y similares
71151;Artistas y técnicos independientes
71211;Museos
71212;Sitios históricos
71213;Jardines botánicos y zoológicos
71219;Grutas, parques naturales y otros sitios del patrimonio nacional
71311;Parques con instalaciones recreativas
71312;Casas de juegos electrónicos
71321;Casinos
71329;Loterías y otros juegos de azar
71391;Campos de golf
71392;Pistas para esquiar
71393;Marinas turísticas
71394;Clubes deportivos, balnearios y centros de acondicionamiento físico
71395;Boliches
71399;Otros servicios recreativos
72111;Hoteles y moteles, excepto hoteles con casino
72112;Hoteles con casino
72119;Cabañas, villas y similares
72121;Campamentos y albergues recreativos
72131;Pensiones y casas de huéspedes, y departamentos y casas amueblados con servicios de hotelería
72211;Restaurantes con servicio de meseros
72221;Restaurantes de autoservicio y de comida para llevar
72231;Servicios de comedor para empresas e instituciones
72232;Servicios de preparación de alimentos para ocasiones especiales
72233;Servicios de preparación de alimentos en unidades móviles
72241;Centros nocturnos, bares, cantinas y similares
72251;Servicios de preparación de alimentos y bebidas alcohólicas y no alcohólicas
81111;Reparación mecánica y eléctrica de automóviles y camiones
81112;Hojalatería, tapicería y otras reparaciones a la carrocería de automóviles y camiones
81119;Otros servicios de reparación y mantenimiento de automóviles y camiones
81121;Reparación y mantenimiento de equipo electrónico y de equipo de precisión
81131;Reparación y mantenimiento de maquinaria y equipo agropecuario, industrial, comercial y de servicios
81141;Reparación y mantenimiento de aparatos eléctricos para el hogar y personales
81142;Reparación de tapicería de muebles para el hogar
81143;Reparación de calzado y otros artículos de piel y cuero
81149;Reparación y mantenimiento de otros artículos para el hogar y personales
81211;Salones y clínicas de belleza y peluquerías
81212;Baños públicos
81213;Sanitarios públicos y bolerías
81221;Lavanderías y tintorerías
81231;Servicios funerarios
81232;Administración de cementerios
81241;Estacionamientos y pensiones para automóviles
81291;Servicios de revelado de fotografías
81299;Otros servicios personales
81311;Asociaciones, organizaciones y cámaras de productores, comerciantes y prestadores de servicios
81312;Asociaciones y organizaciones laborales y sindicales
81313;Asociaciones y organizaciones de profesionistas
81314;Federaciones y otras asociaciones regulatorias de actividades recreativas
81321;Asociaciones y organizaciones religiosas
81322;Asociaciones y organizaciones políticas
81323;Asociaciones y organizaciones civiles
81411;Hogares con empleados domésticos
93111;Órganos legislativos
93121;Administración pública federal en general
93122;Administración pública estatal en general
93123;Administración pública municipal en general
93131;Regulación y fomento federal del desarrollo económico
93132;Regulación y fomento estatal del desarrollo económico
93133;Regulación y fomento municipal del desarrollo económico
93141;Impartición de justicia y mantenimiento de la seguridad y el orden público en el nivel federal
93142;Impartición de justicia y mantenimiento de la seguridad y el orden público en el nivel estatal
93143;Impartición de justicia y mantenimiento de la seguridad y el orden público en el nivel municipal
93151;Regulación y fomento federal de actividades para mejorar y preservar el medio ambiente
93152;Regulación y fomento estatal de actividades para mejorar y preservar el medio ambiente
93153;Regulación y fomento municipal de actividades para mejorar y preservar el medio ambiente
93161;Actividades administrativas federales de instituciones de bienestar social
93162;Actividades administrativas estatales de instituciones de bienestar social
93163;Actividades administrativas municipales de instituciones de bienestar social
93171;Relaciones exteriores
93181;Actividades de seguridad nacional
93211;Organismos internacionales
93212;Sedes diplomáticas y otras unidades extraterritoriales
